date,open,high,low,close,volume
2023-06-19,71300,71700,70900,71200,11100887
2023-06-20,70700,71400,70400,71400,11557883
2023-06-21,70700,71200,70400,70500,10626603
2023-06-22,70200,71500,70100,71300,11411007
2023-06-23,72000,72200,71600,71600,12329484
2023-06-26,71700,72500,71500,72400,10541901
2023-06-27,72500,72600,72000,72600,9442997
2023-06-28,72600,72700,72000,72700,8783093
2023-06-29,73100,73400,72400,72400,12229967
2023-06-30,72500,72700,71700,72200,11694765
2023-07-03,72700,73200,72600,73000,10722181
2023-07-04,73400,73600,72900,73000,10214350
2023-07-05,73000,73300,71900,72000,12310610
2023-07-06,71900,72400,71500,71600,14777667
2023-07-07,71100,71400,69800,69900,17308877
2023-07-10,70000,70400,69200,69500,11713926
2023-07-11,70200,71500,70100,71500,12177392
2023-07-12,71200,72000,71100,71900,10375581
2023-07-13,72400,72600,71900,71900,14417279
2023-07-14,72500,73400,72400,73400,15882519
2023-07-17,73200,73500,72800,73300,10060049
2023-07-18,73200,73500,72000,72000,11697900
2023-07-19,72700,72800,71300,71700,10896412
2023-07-20,71100,71500,70800,71000,9732730
2023-07-21,70400,70400,69400,70300,16528926
2023-07-24,70100,70900,69900,70400,13418597
2023-07-25,70000,70500,69800,70000,14314945
2023-07-26,69800,70600,68100,69800,30016221
2023-07-27,69900,71700,69300,71700,24261179
2023-07-28,71800,72400,70100,70600,19420683
2023-07-31,70900,71000,69800,69800,13035420
2023-08-01,70100,71200,70000,71100,12299254
2023-08-02,70700,71000,69800,69900,13835020
2023-08-03,69900,70200,68500,68800,20087090
2023-08-04,68800,69100,68200,68300,12360193
2023-08-07,67700,69200,67600,68500,10968505
2023-08-08,69000,69100,67400,67600,14664709
2023-08-09,68000,69600,67900,68900,17259673
2023-08-10,68300,68500,67800,68000,10227311
2023-08-11,68400,68800,67500,67500,9781038
2023-08-14,67500,67900,66900,67300,9352343
2023-08-16,66700,67100,66300,67000,13174578
2023-08-17,66300,66800,66000,66700,10778652
2023-08-18,66000,66700,65800,66300,11745006
2023-08-21,66600,67100,66300,66600,9720067
2023-08-22,67200,67700,66300,66600,10500242
2023-08-23,66700,67100,66400,67100,9549352
2023-08-24,68300,68700,67900,68200,15044463
2023-08-25,67100,67400,66900,67100,7032462
2023-08-28,66800,67000,66500,66800,5824628
2023-08-29,66900,67200,66600,66800,9114352
2023-08-30,67300,67700,67100,67100,9181223
2023-08-31,67100,67200,66400,66900,15964630
2023-09-01,66800,71000,66700,71000,29738235
2023-09-04,72900,72900,70700,71200,26286495
2023-09-05,70900,71500,70200,70700,12330239
2023-09-06,70700,70800,69700,70000,11414620
2023-09-07,70000,70600,69600,70400,13741241
2023-09-08,70200,70300,69600,70300,10688118
2023-09-11,70400,70800,70000,70800,11785462
2023-09-12,70800,71000,70400,70500,11688599
2023-09-13,71100,71600,70300,70900,15955797
2023-09-14,71200,71800,70800,71700,21041407
2023-09-15,71700,72300,71400,72000,17823512
2023-09-18,71300,71700,70200,70200,16040727
2023-09-19,70400,70800,69600,69800,11820188
2023-09-20,70000,70300,69500,69600,10873015
2023-09-21,69200,69800,68800,68900,10796336
2023-09-22,68300,68900,68300,68800,9897840
2023-09-25,68500,69700,68500,69400,13582516
2023-09-26,70000,70000,68400,68600,13143470
2023-09-27,68600,69100,68200,68400,14886491
2023-10-04,67400,67700,66700,67500,23361149
2023-10-05,67300,67400,66700,66700,16108313
2023-10-06,67100,67300,66000,66000,14386527
2023-10-10,66200,67600,66200,66400,19889202
2023-10-11,68600,69400,67900,68200,25209349
2023-10-12,68600,69700,68200,68900,19311380
2023-10-13,68000,68500,67700,68000,9724086
2023-10-16,67900,68500,66800,67300,12599299
2023-10-17,67700,69900,67400,69400,17299253
2023-10-18,68900,70500,68800,70500,16493184
2023-10-19,69700,70000,69400,69500,13985012
2023-10-20,68900,69200,68100,68800,15204495
2023-10-23,68700,69100,68200,68400,11625959
