date,open,high,low,close,volume
2023-02-09,63000,63300,62300,63000,12164865
2023-02-10,62600,63000,62400,62800,9382576
2023-02-13,62900,63000,62300,62900,10730362
2023-02-14,63600,63900,63200,63200,9126664
2023-02-15,63900,63900,62000,62200,13208103
2023-02-16,62500,63700,62400,63700,13798831
2023-02-17,62900,63300,62400,62600,10791265
2023-02-20,62900,63000,61800,62700,12908073
2023-02-21,62700,62800,62000,62100,7665046
2023-02-22,61500,61800,61000,61100,11959088
2023-02-23,61700,62500,61500,62000,13047099
2023-02-24,62300,62600,61300,61300,10308143
2023-02-27,60800,60800,60200,60500,11155697
2023-02-28,60800,61400,60500,60600,13715861
2023-03-02,60900,61800,60500,60800,13095682
2023-03-03,61000,61200,60500,60500,10711405
2023-03-06,61100,61600,60800,61500,13630602
2023-03-07,61400,61400,60700,60700,11473280
2023-03-08,60100,60500,59900,60300,14161857
2023-03-09,60500,60800,59900,60100,14334499
2023-03-10,59500,59700,59100,59500,11902471
2023-03-13,59900,60200,59300,60000,12779724
2023-03-14,59400,59500,59000,59000,12147346
2023-03-15,60000,60300,59600,59800,10482149
2023-03-16,59200,60200,59100,59900,10611939
2023-03-17,60800,61300,60600,61300,14090110
2023-03-20,61100,61200,60200,60200,9618009
2023-03-21,60500,60700,60100,60300,8318514
2023-03-22,61000,61200,60500,61100,8978591
2023-03-23,60600,62300,60600,62300,15381057
2023-03-24,62700,63300,62300,63000,18278602
2023-03-27,62600,62800,62000,62100,11039331
2023-03-28,62400,62900,62100,62900,11614118
2023-03-29,62500,62700,62200,62700,11216008
2023-03-30,63700,63700,63100,63200,15684377
2023-03-31,64000,64000,63700,64000,14094479
2023-04-03,64000,64000,63000,63100,11973133
2023-04-04,63400,63800,62800,63600,11120514
2023-04-05,63700,64000,63400,63900,9176149
2023-04-06,63500,63600,62300,62300,14992747
2023-04-07,63800,65200,63800,65000,27476120
2023-04-10,64800,66300,64700,65700,18777166
2023-04-11,66200,66200,65400,65900,16323183
2023-04-12,65800,66200,65300,66000,15021313
2023-04-13,65600,66100,65400,66100,15091022
2023-04-14,66600,66600,65000,65100,16176490
2023-04-17,65000,65600,64700,65300,13486618
2023-04-18,65900,66000,64800,65600,14802060
2023-04-19,65500,65800,65300,65500,10255985
2023-04-20,65100,65300,64600,65300,9501169
2023-04-21,65800,65900,65400,65700,10538622
2023-04-24,65300,65700,64800,65200,12986581
2023-04-25,65300,65400,63400,63600,16193271
2023-04-26,63600,64300,63300,64100,12664541
2023-04-27,64100,65000,63300,64600,14779601
2023-04-28,65200,65900,65000,65500,19699481
2023-05-02,66000,66300,65100,65700,14396948
2023-05-03,65100,65600,64900,65400,8876749
2023-05-04,65600,65700,64700,65100,9791064
2023-05-08,66300,66300,65400,65900,9405365
2023-05-09,65800,65800,65100,65300,9366861
2023-05-10,65500,65500,64300,64600,13057727
2023-05-11,64700,65100,64200,64200,11648905
2023-05-12,63700,64600,63600,64100,8693913
2023-05-15,64100,64600,63900,64500,8172021
2023-05-16,65800,65900,65300,65400,12334657
2023-05-17,65900,65900,64800,65000,10745504
2023-05-18,66000,66200,65700,66200,14431704
2023-05-19,67800,68400,67500,68400,20349345
2023-05-22,68400,69000,68000,68500,14470308
2023-05-23,68500,68700,68100,68400,8561643
2023-05-24,68100,68700,68000,68500,8192896
2023-05-25,69900,70000,68700,68800,14231160
2023-05-26,69800,70400,69500,70300,19549511
2023-05-30,71300,72300,71200,72300,27476897
2023-05-31,72400,72500,71000,71400,25666087
2023-06-01,70900,71600,70600,70900,14669296
2023-06-02,71700,72200,71600,72200,12161798
2023-06-05,72700,72700,71400,71700,12686829
2023-06-07,71300,71600,70800,71000,14796613
2023-06-08,70400,70900,70000,70900,19165568
2023-06-09,71100,72300,70800,72000,15050209
2023-06-12,72100,72400,70800,71000,12064287
2023-06-13,71700,72200,71600,72000,13227285
2023-06-14,72100,72200,71100,71900,12541046
2023-06-15,72100,72300,71300,71500,13614994
2023-06-16,71800,71900,70900,71800,15373696
